"";"name";"host_id";"host_name";"neighbourhood_group";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"calculated_host_listings_count";"availability_365";"number_of_reviews_ltm";"license";"log_price";"log_minimum_nights";"dummy_room_type";"dummy_ng"
"4990";"Habitación en Sevilla";116802345;"Sonia";"Sur";"Las Letanías";37,362789;-5,963794;"Private room";17;1;39;"2022-09-22";3,48;2;341;39;"cdc-2021372177";2,83321334405622;0;"Private room";0
"4991";"Apartamento de 3 dormitorios en la Macarena";428361854;"Fabian";"Macarena";"El Carmen";37,40586;-5,9837;"Entire home/apt";107;2;0;"";0;1;112;0;"VFT/SE/05859";4,67282883446191;0,693147180559945;"Entire home/apt";0
"4992";"Apartamento Barrio San Bernardo (Jardines Murillo)";352846408;"Miguel Y Angela";"Nervión";"San Bernardo";37,38286;-5,98318;"Entire home/apt";230;2;0;"";0;2;0;0;"VFT/SE/08617";5,4380793089232;0,693147180559945;"Entire home/apt";0
"4993";"Apartamento entero 10 min coche Sevilla Centro";428374813;"Pepi";"Triana";"Triana Oeste";37,40562;-6,0317;"Entire home/apt";72;1;61;"2022-09-05";5,41;1;151;61;"CTC-2021361663";4,27666611901606;0;"Entire home/apt";0
"4995";"Princes Park apartment";320280;"Fatima";"Los Remedios";"Los Remedios";37,37286;-6,00246;"Entire home/apt";66;3;4;"2022-08-22";1,06;2;262;4;"VFT/SE/07539";4,18965474202643;1,09861228866811;"Entire home/apt";0
"4996";"NEW! Tranquilo apto. a estrenar junto a Giralda";14958822;"Nacho";"Casco Antiguo";"Santa Cruz";37,38858;-5,99251;"Entire home/apt";124;2;77;"2022-09-24";6,98;125;59;77;"VFT/SE/06642";4,82028156560504;0,693147180559945;"Entire home/apt";1
"4997";"Misterhost Duplex Central and Quiet";113546787;"Fran Y Manuela";"Casco Antiguo";"Feria";37,396633;-5,99032;"Entire home/apt";163;2;23;"2022-08-27";2,14;17;305;23;"VFT/SE/08069";5,09375020080676;0,693147180559945;"Entire home/apt";1
"4998";"FANTASTIC DUPLEX CENTER SEVILLA - SUMMER POOL - WIFI!";51048225;"Javier";"Casco Antiguo";"San Bartolomé";37,38863;-5,98887;"Entire home/apt";80;1;8;"2022-09-22";1,57;101;339;8;"VFT/SE/01419";4,38202663467388;0;"Entire home/apt";1
"4999";"New! LS9- La Palmera Luxury I";14958822;"Nacho";"Palmera - Bellavista";"Sector Sur, La Palmera, Reina Mercedes";37,36694;-5,9889;"Entire home/apt";130;1;5;"2022-08-28";0,47;125;91;5;"A/SE/00354";4,86753445045558;0;"Entire home/apt";0
"5000";"FERIA New! 700mtrs- Luxury III";14958822;"Nacho";"Palmera - Bellavista";"Sector Sur, La Palmera, Reina Mercedes";37,36719;-5,9889;"Entire home/apt";117;1;9;"2022-07-10";0,83;125;84;9;"A/SE/00354";4,76217393479776;0;"Entire home/apt";0
"5003";"New! FERIA a 700mtrs - La Palmera Luxury V";14958822;"Nacho";"Palmera - Bellavista";"Sector Sur, La Palmera, Reina Mercedes";37,36644;-5,98903;"Entire home/apt";147;1;11;"2022-09-23";1,02;125;93;11;"A/SE/00354";4,99043258677874;0;"Entire home/apt";0
"5004";"Feria at 700 Mtrs New! LS9- La Palmera Luxury VI";14958822;"Nacho";"Palmera - Bellavista";"Sector Sur, La Palmera, Reina Mercedes";37,366047;-5,987982;"Entire home/apt";171;1;11;"2022-08-23";1,04;125;88;11;"A/SE/00354";5,14166355650266;0;"Entire home/apt";0
"5005";"San Rafael's Apartment Seville";425030236;"Blanca";"Casco Antiguo";"Encarnación, Regina";37,393894;-5,99386;"Entire home/apt";89;2;23;"2022-09-18";2,08;2;14;23;"VFT/SE/09066";4,48863636973214;0,693147180559945;"Entire home/apt";1
"5006";"Cool house in Fontanal neighborhood";192737748;"Clara";"San Pablo - Santa Justa";"Carretera de Carmona, María Auxiliadora, Fontanal";37,398205;-5,976749;"Entire home/apt";88;2;30;"2022-09-22";3,27;1;162;30;"VFT/SE/08765";4,47733681447821;0,693147180559945;"Entire home/apt";0
"5007";"Apartamento en pleno centro con preciosas vistas";14958822;"Nacho";"Casco Antiguo";"Alfalfa";37,3895;-5,993227;"Entire home/apt";122;2;48;"2022-09-16";4,36;125;50;48;"VFT/SE/07222";4,80402104473326;0,693147180559945;"Entire home/apt";1
"5008";"Apartamentos Plaza Doña Elvira, 7 (2.ª planta)";18685197;"Marina";"Casco Antiguo";"Santa Cruz";37,384823;-5,990407;"Entire home/apt";181;2;8;"2022-06-16";0,81;2;40;8;"VFT/SE/07963";5,19849703126583;0,693147180559945;"Entire home/apt";1
"5009";"“Your second home 8 minutes from of Giralda”";88245145;"Gemma";"Nervión";"San Bernardo";37,38349;-5,98382;"Entire home/apt";108;2;48;"2022-09-21";4,88;5;183;48;"VFT/SE/08667";4,68213122712422;0,693147180559945;"Entire home/apt";0
"5010";"APARTAMENT PEDRO NIÑO ELEVEN SUITES";178921446;"Antonio & Isabel";"Casco Antiguo";"Feria";37,39626;-5,99206;"Entire home/apt";94;1;3;"2022-05-08";0,28;7;0;3;"VFT/SE/08707";4,54329478227;0;"Entire home/apt";1
"5011";"numa | Maisonette with Balcony & AC in Santa Cruz";226474931;"Numa | Jondo";"Casco Antiguo";"Santa Cruz";37,387043;-5,990128;"Entire home/apt";71;31;3;"2022-08-07";0,32;9;184;3;"";4,26267987704132;3,43398720448515;"Entire home/apt";1
"5012";"Precioso apartamento en la Alameda de Hércules.";10795723;"Carlos";"Casco Antiguo";"Feria";37,3989;-5,99304;"Entire home/apt";73;2;57;"2022-09-24";5,28;1;262;57;"VFT/SE/05774";4,29045944114839;0,693147180559945;"Entire home/apt";1
"5013";"FERIA at 700 mtrs - LS luxury VII- private Pool";14958822;"Nacho";"Palmera - Bellavista";"Sector Sur, La Palmera, Reina Mercedes";37,36696;-5,98737;"Entire home/apt";171;1;25;"2022-09-17";2,31;125;78;25;"A/SE/00354";5,14166355650266;0;"Entire home/apt";0
"5014";"Oasis, encantador rincón andaluz. Amare Housing Sevilla";418855812;"Ana";"Casco Antiguo";"Alfalfa";37,39174;-5,992;"Entire home/apt";116;2;6;"2022-06-05";0,56;3;217;6;"VFT/SE/06083";4,75359019110636;0,693147180559945;"Entire home/apt";1
"5015";"Close to FERIA!! 700mtrs La Palmera Luxury VIII";393805329;"Sevilla";"Palmera - Bellavista";"Sector Sur, La Palmera, Reina Mercedes";37,36515;-5,9868;"Entire home/apt";188;1;3;"2022-08-27";0,28;4;87;3;"A/SE/00354";5,23644196282995;0;"Entire home/apt";0
"5016";"New! LS9- La Palmera Luxury IV";14958822;"Nacho";"Palmera - Bellavista";"Sector Sur, La Palmera, Reina Mercedes";37,36511;-5,98755;"Entire home/apt";113;1;8;"2022-09-18";0,75;125;85;8;"A/SE/00354";4,72738781871234;0;"Entire home/apt";0
"5017";"Azahar apartment, Amare Housing Sevilla.";418855812;"Ana";"Casco Antiguo";"Alfalfa";37,39062;-5,99231;"Entire home/apt";104;2;4;"2022-04-24";0,38;3;184;4;"VFT/SE/06081";4,64439089914137;0,693147180559945;"Entire home/apt";1
"5018";"Alojarte Adolfo Cuéllar 401";182169184;"Maria Elena";"Casco Antiguo";"Museo";37,38912;-5,99961;"Entire home/apt";98;1;53;"2022-09-15";4,92;15;181;53;"CTC-2020200059";4,58496747867057;0;"Entire home/apt";1
"5019";"CENTRO DUQUE";422578071;"Roque";"Casco Antiguo";"Encarnación, Regina";37,39532;-5,99524;"Entire home/apt";66;2;29;"2022-09-18";2,63;3;11;29;"VFT/SE/01225";4,18965474202643;0,693147180559945;"Entire home/apt";1
"5020";"Alameda Style & Design";209748933;"Mariano";"Casco Antiguo";"San Vicente";37,3974227905273;-5,99966716766357;"Entire home/apt";173;2;9;"2022-08-30";0,99;32;73;9;"VFT/SE/08467";5,15329159449778;0,693147180559945;"Entire home/apt";1
"5022";"RentalSevilla Navegando Guadalquivir";170512874;"Rosalía";"Macarena";"Doctor Barraquer, G. Renfe, Policlínico";37,40849;-5,9908;"Entire home/apt";143;1;9;"2022-08-19";0,84;105;215;9;"VFT/SE/06792";4,96284463025991;0;"Entire home/apt";0
"5023";"Suite sevillana, Amare Housing Sevilla.";418855812;"Ana";"Casco Antiguo";"Alfalfa";37,39035;-5,99019;"Entire home/apt";129;2;5;"2022-05-29";0,46;3;240;5;"VFT/SE/06084";4,85981240436167;0,693147180559945;"Entire home/apt";1
"5024";"Metropol Sevilla Urban Apartment + parking";301473052;"Esther";"Casco Antiguo";"Encarnación, Regina";37,39352;-5,99066;"Entire home/apt";127;1;14;"2022-09-07";1,31;25;79;14;"VFT/SE/00005";4,84418708645859;0;"Entire home/apt";1
"5025";"APARTAMENTO EN SANTA CRUZ PARA 4 + WIFI + AC";9464382;"Thiago Y Miguel";"Casco Antiguo";"San Bartolomé";37,386669;-5,986378;"Entire home/apt";61;2;32;"2022-09-13";2,92;10;156;32;"VFT/SE/09121";4,11087386417331;0,693147180559945;"Entire home/apt";1
"5026";"centrico apartamento 2 dormitorios 5 personas";189203635;"Juan Antonio";"Casco Antiguo";"Arenal";37,38567;-5,99586;"Entire home/apt";66;1;1;"2021-11-12";0,09;9;152;1;"VFT/SE/04947D";4,18965474202643;0;"Entire home/apt";1
"5027";"Charming apartment - Jewish Quarter 3";35086684;"Nicolás";"Casco Antiguo";"San Bartolomé";37,38846;-5,98538;"Entire home/apt";129;2;17;"2022-08-11";1,6;5;134;17;"VFT/SE/08768";4,85981240436167;0,693147180559945;"Entire home/apt";1
"5028";"RentalSevilla De paseo por los Remedios";170512874;"Rosalía";"Triana";"Triana Este";37,37751;-6,0039;"Entire home/apt";114;1;0;"";0;105;325;0;"VFT/SE/ 06977";4,7361984483945;0;"Entire home/apt";0
"5029";"Feria at 700 meters - La Palmera Luxury II";14958822;"Nacho";"Palmera - Bellavista";"Sector Sur, La Palmera, Reina Mercedes";37,36495;-5,98874;"Entire home/apt";130;1;14;"2022-09-23";1,3;125;78;14;"A/SE/00354";4,86753445045558;0;"Entire home/apt";0
"5030";"Art Suite Sevilla";429398006;"La Galería";"Casco Antiguo";"Alfalfa";37,39187;-5,99506;"Entire home/apt";145;2;15;"2022-06-05";1,53;1;0;15;"VFT/SE/08752";4,97673374242057;0,693147180559945;"Entire home/apt";1
"5031";"Beautiful double room in the heart of Seville";39930103;"Covadonga";"Casco Antiguo";"San Vicente";37,39638;-5,99569;"Private room";60;1;6;"2022-06-08";0,59;4;360;6;"CTC-201899900765640";4,0943445622221;0;"Private room";1
"5032";"ALOJARTE FERIA 106";182169184;"Maria Elena";"Casco Antiguo";"San Gil";37,40175;-5,99147;"Entire home/apt";98;1;37;"2022-09-18";3,35;15;60;37;"CTC2019128298";4,58496747867057;0;"Entire home/apt";1
"5033";"Apartamento en la mejor zona de Nervión";124061567;"Maria Luisa";"Nervión";"La Buhaira";37,38519;-5,97137;"Entire home/apt";65;4;18;"2022-09-22";2,84;2;66;18;"VFT/SE/07137";4,17438726989564;1,38629436111989;"Entire home/apt";0
"5034";"CENTRO LAS SETAS";422578071;"Roque";"Casco Antiguo";"Alfalfa";37,39281;-5,9934;"Entire home/apt";66;2;26;"2022-09-23";2,41;3;12;26;"VFT/SE/01922";4,18965474202643;0,693147180559945;"Entire home/apt";1
